CRESTA,Haz,Vuln,Overall
AT_10,-6.91E-02,8.72E-05,-6.90E-02
AT_11,-0.112758232,1.38E-04,-0.112635508
AT_12,-0.095571164,1.20E-04,-9.55E-02
AT_13,-0.079764089,4.60E-04,-0.079340463
AT_20,-8.75E-02,3.59E-03,-8.43E-02
AT_21,-6.79E-02,0.002981665,-0.065077802
AT_22,-9.26E-02,1.99E-03,-9.08E-02
AT_23,-4.21E-02,5.11E-04,-4.16E-02
AT_24,-9.10E-02,8.09E-04,-9.02E-02
AT_25,-8.93E-02,5.67E-04,-8.88E-02
AT_26,-6.61E-02,-2.02E-03,-6.80E-02
AT_27,-0.070934501,1.37E-04,-7.08E-02
AT_28,-0.06969448,1.28E-03,-6.85E-02
AT_30,-0.104447928,1.27E-03,-0.103312997
AT_31,-7.28E-02,5.94E-04,-7.23E-02
AT_32,-6.06E-02,8.28E-04,-5.99E-02
AT_33,-6.64E-02,-7.07E-04,-6.71E-02
AT_34,-0.112609861,1.92E-03,-0.110910253
AT_35,-0.082201434,3.21E-03,-7.93E-02
AT_36,-6.90E-02,2.62E-03,-6.66E-02
AT_37,-9.21E-02,3.23E-03,-0.089203932
AT_38,-7.42E-02,2.97E-03,-7.14E-02
AT_39,-7.23E-02,3.02E-03,-6.95E-02
AT_40,-1.70E-02,8.40E-04,-1.62E-02
AT_41,-5.20E-02,2.14E-03,-5.00E-02
AT_42,-5.31E-02,1.98E-03,-5.12E-02
AT_43,-6.55E-02,2.95E-03,-6.27E-02
AT_44,-4.01E-02,-1.16E-03,-4.12E-02
AT_45,1.15E-04,-4.18E-03,-4.07E-03
AT_46,-0.05335622,5.45E-04,-5.28E-02
AT_47,-5.82E-02,2.24E-03,-0.056103536
AT_48,-7.78E-02,-4.74E-03,-0.08214756
AT_49,-6.41E-02,2.43E-03,-6.18E-02
AT_50,-0.093576695,-1.91E-04,-0.093749614
AT_51,-9.56E-02,1.24E-03,-9.45E-02
AT_52,-9.03E-02,1.86E-03,-8.86E-02
AT_53,-0.110611362,-1.57E-03,-0.112008177
AT_54,-0.104916989,-1.13E-02,-0.115038585
AT_55,-8.12E-02,-0.101700623,-0.174647942
AT_56,-9.67E-02,-1.95E-02,-0.114332466
AT_57,-0.114790064,-1.94E-02,-0.13193285
AT_60,-8.64E-02,-4.39E-02,-0.126557313
AT_61,-0.156168421,-6.76E-02,-0.213219458
AT_62,-0.139229453,-5.31E-02,-0.184930588
AT_63,-0.119052,-6.00E-02,-0.171906035
